month,date,source_file,IBOV,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Not Classified
2012-11,2012-11-30,grid_u4lflnxf.xlsx,9098.0576414327,2120.7030596364,489.5548022528,3812.7252148568,24043.5654353837,8877.6591788869,342.0314652834,670.1346016697,,12431.3268556299,564.6154920329,1474.1588906973,544.8751417863
2012-12,2012-12-31,grid_u4lflnxf.xlsx,9301.8568644363,2134.2832308123,492.7488605359,3868.3884340718,24629.2664472646,8987.1072175709,365.3233877891,666.1292039095,,12747.4096102477,576.286016,1478.4958756012,564.777984
2013-01,2013-01-31,grid_u4lflnxf.xlsx,8721.8682400607,2078.1901142644,500.2834897288,4027.6209073705,23926.6760853625,8867.9089228475,355.9095751728,712.1489647819,,11691.6710856971,584.341791737,1239.6142553002,572.3670703342
2013-02,2013-02-28,grid_u4lflnxf.xlsx,8564.557840721,2220.528215696,483.7263884316,4041.2124178934,22734.3726385664,8907.1813379542,363.6386505006,733.5962430722,,12533.5395645364,594.9695768548,1438.0107935126,583.8380943781
2013-03,2013-03-29,grid_u4lflnxf.xlsx,8834.0013893503,2256.9896204269,472.8572692698,4078.4525157374,25614.5324675052,9131.3181471644,365.0175160492,761.8826294056,,11757.7461652514,603.661562389,1488.5537806868,584.6712214795
2013-04,2013-04-30,grid_u4lflnxf.xlsx,9500.2555266344,2338.6433455496,471.0635716292,4028.9634886273,27708.3166242333,9033.5613442413,368.654327119,770.8932431916,,12221.9587316094,625.8535504658,1451.7871584986,590.1753372055
2013-05,2013-05-31,grid_u4lflnxf.xlsx,9065.5175875768,2187.3733693276,410.7915235656,3835.2336206894,24667.149536862,9443.5089783577,362.7173266929,820.6422467219,,11752.1107111209,522.9467774578,1386.1759549246,585.998867463
2013-06,2013-06-28,grid_u4lflnxf.xlsx,8839.8019737839,2180.4286953939,431.7721243375,4000.9288690379,25703.1926968445,9351.0750533163,346.7067918402,887.4316189195,,11999.2722469657,520.1135906039,1490.2990928503,596.5340393205
2013-07,2013-07-31,grid_u4lflnxf.xlsx,8638.2208788512,2094.3018835893,445.6313637991,4181.2497094962,24974.4183713068,9343.4537147637,359.0984878469,862.4438740913,,11546.9979740734,497.3851313212,1497.1272791384,579.7873902466
2013-08,2013-08-30,grid_u4lflnxf.xlsx,8762.8312734115,2130.4458969,450.5176339959,4202.7839698254,28533.0969193723,9405.3133664328,361.7633262917,811.0513916658,,11099.5355012367,498.1243909236,1434.417457186,587.6580491397
2013-09,2013-09-30,grid_u4lflnxf.xlsx,8556.5196115296,1819.2841975912,448.5617909639,4179.5858057917,23538.6862699703,9583.5919754196,375.7508343243,777.7208881065,,11767.3299107645,508.0164345439,1482.533605963,604.6098873863
2013-10,2013-10-31,grid_u4lflnxf.xlsx,8664.9237666048,1743.7489699416,451.0040942718,4285.0501436336,24035.4780736236,9697.0022195956,386.0181280152,795.3577684588,,11330.4070557485,489.6837839829,1480.8775236615,576.5774265863
2013-11,2013-11-29,grid_u4lflnxf.xlsx,9251.2241397479,1669.831172512,452.9724576136,4547.1632789581,29458.659328,9762.8530478356,389.1676215366,836.7662567708,,12223.521234596,498.3902654547,1486.7814653657,570.3773801205
2013-12,2013-12-31,grid_u4lflnxf.xlsx,9121.4767045524,1656.5205863382,427.956792038,4627.1785643606,30840.199168,9853.0191125744,370.1177205208,841.273995525,,11864.0310398074,489.6129788538,1534.2181854245,550.899968
2014-01,2014-01-31,grid_vtqvtw11.xlsx,10506.2989409663,2217.0558954619,544.8385351719,6098.7104827689,30005.7002657315,10362.9416715802,343.9345138931,935.8736486291,,15018.6781221746,478.7313054443,1603.9574434008,579.900032
