signal_index,signal_date,entry_date,exit_date,n_long,n_short,long_return,short_underlying_return,pure_spread_return,overlay_excess_return,long_quality_mean,short_quality_mean,raw_dispersion_z,sma21_z,sma21_high_cross,bucket
1629,2020-12-11,2020-12-14,2021-01-19,10,10,-0.008364400296301795,0.07104930702232864,-0.07616235103134564,-0.038170188854375245,60.90976978677853,44.24931890478358,-1.094356578938466,-0.2571750509669999,False,-0.5 to +0.5
1630,2020-12-14,2020-12-15,2021-01-20,10,10,-0.0391790662148831,0.04827957434179704,-0.08510775312234227,-0.04291813961222372,60.90976978677852,45.83444750103621,-1.1863186327273858,-0.3624189314372844,False,-0.5 to +0.5
1631,2020-12-15,2020-12-16,2021-01-21,10,10,-0.07769309444396348,0.01835040429177097,-0.09582616787977968,-0.0484140953840835,62.210382838170915,46.07231328808704,-1.2289169418563994,-0.4558233759370088,False,-0.5 to +0.5
1632,2020-12-16,2020-12-17,2021-01-22,10,10,-0.097383473631439,0.030295643239151113,-0.12497002800801013,-0.06388614738929219,63.396503292502686,49.19414645696075,-0.7154222047216596,-0.5004549349743111,False,-1.5 to -0.5
1633,2020-12-17,2020-12-18,2021-01-26,10,10,-0.09163879029886345,0.006814027869414588,-0.0988814974156211,-0.05004217478710174,63.396503292502686,49.608397579654664,-0.7786374322607522,-0.5736515963548765,False,-1.5 to -0.5
1634,2020-12-18,2020-12-21,2021-01-27,10,10,-0.05780017602447759,0.005572229354550437,-0.06454623820018787,-0.03208569929570985,61.317284463581345,49.608397579654664,-0.6176531710877916,-0.6363968479758628,False,-1.5 to -0.5
1635,2020-12-21,2020-12-22,2021-01-28,10,10,-0.009729450521552316,0.021977767015347364,-0.03272417979862542,-0.015791821344510237,61.75857306442008,50.35973730576262,-0.6907409897435811,-0.730263151575799,False,-1.5 to -0.5
1636,2020-12-22,2020-12-23,2021-01-29,10,10,-0.06081486864097497,-0.034131747489985445,-0.030702057351910488,-0.014569462104376861,61.317284463581345,46.87498401037534,-0.2977808298532271,-0.7697085790452085,False,-1.5 to -0.5
1637,2020-12-23,2020-12-28,2021-02-01,10,10,-0.06279878627029399,-0.00508673053615438,-0.06047104019199007,-0.029854868421333277,67.75406656816034,46.12364428426738,-0.5431266581552447,-0.8088598930043895,False,-1.5 to -0.5
1638,2020-12-28,2020-12-29,2021-02-02,10,10,-0.039941274228518245,-0.022473127285027858,-0.020756515257708493,-0.009398801520342896,65.71776263144464,46.12364428426738,-0.7269793656207256,-0.832913074138332,False,-1.5 to -0.5
1639,2020-12-29,2021-01-04,2021-02-03,10,10,-0.004631678987897963,-0.02418746868875803,0.017224139948307397,0.009434166773422743,67.75406656816034,48.87875676841326,-0.5585631373507117,-0.8375636572889842,False,-1.5 to -0.5
1640,2021-01-04,2021-01-05,2021-02-04,11,11,0.003665431022609119,-0.03579257850780968,0.03745998583427709,0.019208472419401178,62.24839409003246,44.643213014899686,-0.0360776190460532,-0.8009045802527355,False,-1.5 to -0.5
1641,2021-01-05,2021-01-06,2021-02-05,11,11,0.017407799045038364,-0.02988785562813835,0.045629138916800524,0.023205936892310788,62.85575668712638,44.643213014899686,0.5041409778591216,-0.7659885866268611,False,-1.5 to -0.5
1642,2021-01-06,2021-01-07,2021-02-08,11,11,0.0192701830582299,-0.06128938046119799,0.08401510620363982,0.0415792107598204,61.54448484046072,44.0708000214508,0.7097858791232,-0.7140721606529361,False,-1.5 to -0.5
1643,2021-01-07,2021-01-08,2021-02-09,11,11,-0.01849622896873419,-0.07268603430226464,0.05655792252977905,0.028294164834881213,63.448078836292005,49.56076074904524,0.1661663859766477,-0.6594279063092712,False,-1.5 to -0.5
1644,2021-01-08,2021-01-11,2021-02-10,11,11,-0.012048688422168847,-0.07118495745166936,0.06184760323412901,0.03085321031627234,64.23906193873034,44.64321301489968,0.1845242258493034,-0.6019028673707163,False,-1.5 to -0.5
1645,2021-01-11,2021-01-12,2021-02-11,11,11,-0.03663291089954795,-0.027740660938652448,-0.01169758614621577,-0.005411864154139575,62.94283053999297,43.82612311474473,1.052718064944736,-0.4965533030953141,False,-0.5 to +0.5
1646,2021-01-12,2021-01-13,2021-02-12,11,11,-0.025705414636269432,-0.03625618613412297,0.009082317516098457,0.004870348613725458,63.59126875223689,46.09583105132454,1.1771642581880912,-0.3675625835677617,False,-0.5 to +0.5
1647,2021-01-13,2021-01-14,2021-02-17,11,11,-0.03791657928958758,-0.032248073859736576,-0.007992288003820762,-0.003648238918361418,65.38206458372817,47.392308584228324,1.1488903130557462,-0.2684876605879692,False,-0.5 to +0.5
1648,2021-01-14,2021-01-15,2021-02-18,11,11,-0.03788113655889639,0.007580471996799399,-0.04642145043213163,-0.02316338923559007,65.38206458372817,44.162512794787304,0.846359104409662,-0.1898987591889176,False,-0.5 to +0.5
1649,2021-01-15,2021-01-18,2021-02-19,11,11,-0.03964462832190873,-0.0027086649848853,-0.038188653928146125,-0.01898191227749119,65.38206458372817,44.162512794787304,0.7863339971424156,-0.1030671065470257,False,-0.5 to +0.5
1650,2021-01-18,2021-01-19,2021-02-22,11,11,-0.06368508226673733,-0.013428847072833441,-0.05246656996427476,-0.026281200925598696,65.38206458372817,45.26007292986858,0.6825475032571972,-0.0016962106508921,False,-0.5 to +0.5
1651,2021-01-19,2021-01-20,2021-02-23,11,11,-0.04877376949994871,0.009259968542617502,-0.05977730510496137,-0.02997920669485034,65.38206458372815,45.45899032769109,0.5385284014110051,0.09678029546907,False,-0.5 to +0.5
1652,2021-01-20,2021-01-21,2021-02-24,11,11,-0.033655217528528784,0.007447252556820243,-0.042298516475811225,-0.021087734034480336,65.38206458372817,48.05654291700487,1.0072158260510415,0.2244688497312913,False,-0.5 to +0.5
1653,2021-01-21,2021-01-22,2021-02-25,11,11,-0.03836314207892425,-0.018586654881971854,-0.02206052167728547,-0.010785193796143032,63.335280671951985,48.05654291700486,1.31067626943018,0.3401757849331767,False,-0.5 to +0.5
1654,2021-01-22,2021-01-26,2021-02-26,11,11,-0.05587228181924476,-0.02528838109287651,-0.03325619050217526,-0.016444828324708477,63.79364574485735,48.05654291700487,1.198086321953435,0.4531436690084377,False,-0.5 to +0.5
1655,2021-01-26,2021-01-27,2021-03-01,11,11,-0.07783529939655955,-0.0022246827987451308,-0.07751860461592974,-0.03924714937166979,65.04349340278242,47.07412781750923,1.7164235198742317,0.5865306424771589,False,+0.5 to +1.5
1656,2021-01-27,2021-01-28,2021-03-02,11,11,-0.09231204522973713,-0.010709831168910099,-0.08437596329382537,-0.0428414721372592,65.04349340278243,47.07412781750923,1.3844671198080083,0.7052248295658745,False,+0.5 to +1.5
1657,2021-01-28,2021-01-29,2021-03-03,11,11,-0.06092148122675694,0.08137913788669894,-0.13487805855498866,-0.0693448902048567,66.36546502502792,54.81534025935973,1.2935064052754617,0.7962660700092519,False,+0.5 to +1.5
1658,2021-01-29,2021-02-01,2021-03-04,11,11,-0.04657991417712708,0.023695773495130672,-0.07083444187607411,-0.035563943281420415,66.36546502502792,52.88218176424959,0.4354038327718524,0.8522973375137712,False,+0.5 to +1.5
1659,2021-02-01,2021-02-02,2021-03-05,11,11,-0.07082792795351435,0.05101816098013814,-0.11909085961971681,-0.060701010393861665,64.94432210046834,53.348917368600944,0.5896357125102303,0.927630821108154,False,+0.5 to +1.5
1660,2021-02-02,2021-02-03,2021-03-08,11,11,-0.09860081321723217,-0.0867909842888103,-0.015325493176678926,-0.007417215701790085,66.36546502502792,47.15782110431207,0.6818883490609479,0.99856357476584,False,+0.5 to +1.5
1661,2021-02-03,2021-02-04,2021-03-09,11,11,-0.10197066864670455,-0.03611541046657111,-0.07208261381736945,-0.03609270896885423,64.10166295287344,50.46334785378226,0.0266817351063617,1.0021436427696382,False,+0.5 to +1.5
1662,2021-02-04,2021-02-05,2021-03-10,11,11,-0.10683687047901179,-0.08316259532726843,-0.028473904472801348,-0.01388756149648234,65.48003150190145,47.93013661433174,1.1032538583566869,1.03632741526155,False,+0.5 to +1.5
1663,2021-02-05,2021-02-08,2021-03-11,11,11,-0.04958802730401207,-0.08333394537133258,0.03493202515672262,0.017603430671514743,65.64409524875407,47.15782110431207,0.960543137907803,1.050597911091958,False,+0.5 to +1.5
1664,2021-02-08,2021-02-09,2021-03-12,11,11,-0.03363454772349465,-0.07326949811387322,0.04053329208933716,0.020377799941439116,65.64409524875407,48.489499999074454,0.6482617939482584,1.078085756363379,False,+0.5 to +1.5
1665,2021-02-09,2021-02-10,2021-03-15,11,11,0.0075265503393883585,-0.033704785669742186,0.03988995677708827,0.02018864207325186,65.64409524875407,50.26948736849644,1.2829038850177763,1.1407358430017949,False,+0.5 to +1.5
1666,2021-02-10,2021-02-11,2021-03-16,11,11,-0.020802802403709193,-0.03717007173704924,0.01420234158240873,0.007555809845675526,65.64409524875407,50.26948736849644,1.6751574106669496,1.1761811280400585,False,+0.5 to +1.5
1667,2021-02-11,2021-02-12,2021-03-17,11,11,0.001494225722821638,-0.018462633132693793,0.017792653306020312,0.009337507390158895,64.03128385047357,53.89922933194134,2.3602051142674094,1.2436696721382194,False,+0.5 to +1.5
